;Création des campagnes;;;;;Équipe;;Informations des campagnes;;;;;;;Delivery & Marge du mois en cours;;;;;;;Vue d'ensemble;;;;MAPPING;;;;;
Campagne;Géo;Entité;Stats;Levier;Statut;Affiliate;Account; Budget ;Début;Fin;Model; Rém. Ann. ; Rém. NET. ; Rém. Éditeur ; Marge ;Objectif;Objectif à date; Budget restant ;Objectif à date;Volume restant;Volume réalisé; CA interne ; CA externe ;% Budget;% Temps passé;Annonceur;Marché;Campagne;Verticale;MARGE €;
ALDI;FR;CAR;Leadflow;COREG;set-up;Vincent ????;Estelle; 11 403,51 € ;;30/05/2026;CPL; 0,40 € ; 0,32 € ; 0,20 € ;#DIV/0!;28509;28503;15 000,00 €;11 401,29 €;28509;;;;;;;;;;;
ALDI;FR;CAR;Leadflow;COREG;set-up;Vincent ????;Estelle; 11 403,51 € ;;30/06/2026;CPL; 0,40 € ; 0,32 € ; 0,20 € ;#DIV/0!;28509;28484;15 000,00 €;11 393,64 €;28509;;;;;;;;;;;
Alfa Romeo Tonale B2B A EMAIL;FR;CAR;Admin;Emailing;set-up;Vincent ????;Estelle; 13 200,00 € ;;31/05/2026;CPC; 100,00 € ; 80,00 € ; 40,00 € ;#DIV/0!;132;132;13 200,00 €;13 197,14 €;132;0; -   € ; -   € ;0%;100%;ALFA ROMEO;;;;;
Alfa Romeo Tonale B2B DATA CC;FR;CAR;Admin;Emailing;set-up;Philippe ????;Estelle; 2 500,00 € ;;31/05/2026;CPC; 100,00 € ; 80,00 € ; 40,00 € ;#DIV/0!;25;25;2 500,00 €;2 499,46 €;25;0; -   € ; -   € ;0%;100%;ALFA ROMEO;;;;;
AMEX - SOCIAL;IT;DAT;Leadflow;Social;Active;Yanis ????;Alexander; 28 125,00 € ;01/05/2026;31/05/2026;CPL; 75,00 € ; 75,00 € ; 17,32 € ;76,91%;375;254;25 275,00 €;19 052,42 €;337;38; 2 850,00 € ; 658,00 € ;10%;70%;MAZDA;;;AUTOMOBILE; 2 192,00 € ;
Assur O'Poil COREG;FR;CAR;Leadflow;Coreg;Active;Vincent ????;Estelle; 6 000,00 € ;;;CPL; 3,00 € ; 3,00 € ;;#DIV/0!;2000;2000;15 000,00 €;6 000,00 €;2000;;;;;;;;;;;
Assur O'Poil EMAIL;FR;CAR;Tracker ;Emailing;Set-up;Murah ????;Estelle; 4 125,00 € ;;;CPL; 16,50 € ; 16,50 € ;;#DIV/0!;250;250;15 000,00 €;4 125,00 €;250;;;;;;;;;;;
AYVENS VOLVO EX30 - SOCIAL;FR;CAR;Admin;Social;Active;Yanis ????;Manon; 13 095,00 € ;01/05/2026;31/05/2026;CPL; 70,00 € ; 52,50 € ; 27,38 € ;47,85%;145;127;13 066,00 €;8 870,81 €;116;29; 1 522,50 € ; 794,00 € ;20%;70%;AYVENS;B2B;VOLVO EX30;AUTOMOBILE; 728,50 € ;
AYVENS VOLVO EX30 EMAIL;FR;CAR;Admin;Emailing;Active;Vincent ????;Manon; 13 500,00 € ;07/05/2026;31/05/2026;CPL; 90,00 € ; 67,50 € ; 40,00 € ;40,74%;150;90;13 365,00 €;8 100,00 €;15;135; 9 112,50 € ; 5 400,00 € ;90%;63%;AYVENS;B2B;VOLVO EX30;AUTOMOBILE; 3 712,50 € ;
AYVENS VOLVO EX30 EMAIL CC;FR;CAR;Admin;Emailing;Active;Philippe ????;Manon; 3 600,00 € ;07/05/2026;31/05/2026;CPL; 90,00 € ; 67,50 € ; 25,00 € ;62,96%;40;24;3 576,00 €;2 160,00 €;16;24; 1 620,00 € ; 600,00 € ;60%;63%;AYVENS;B2B;VOLVO EX30;AUTOMOBILE; 1 020,00 € ;
BMW F70 SERIE 1;FR;CAR;Tracker ;Emailing;set-up;Vincent ????;Manon; 8 986,00 € ;;30/06/2026;CPC; 1,00 € ; 0,75 € ; 0,30 € ;#DIV/0!;376;8978;8 986,00 €;8 978,22 €;376;;;;0%;100%;BMW;B2C;Serie 1;AUTOMOBILE;;
BMW U10E iX2;FR;CAR;Tracker ;Emailing;set-up;Vincent ????;Manon; 4 992,00 € ;;30/06/2026;CPC; 1,00 € ; 0,75 € ; 0,30 € ;#DIV/0!;379;4988;4 992,00 €;4 987,68 €;379;;;;0%;100%;BMW;B2C;iX2;AUTOMOBILE;;
BMW U11 X1;FR;CAR;Tracker ;Emailing;set-up;Vincent ????;Manon; 9 984,00 € ;;30/06/2026;CPC; 1,00 € ; 0,75 € ; 0,30 € ;#DIV/0!;377;9975;9 984,00 €;9 975,36 €;377;;;;0%;100%;BMW;B2C;X1;AUTOMOBILE;;
BMW UE11 iX1;FR;CAR;Tracker ;Emailing;set-up;Vincent ????;Manon; 4 992,00 € ;;30/06/2026;CPC; 1,00 € ; 0,75 € ; 0,30 € ;#DIV/0!;378;4988;4 992,00 €;4 987,68 €;378;;;;0%;100%;BMW;B2C;iX1;AUTOMOBILE;;
Citroen B2B VP EMAIL;FR;CAR;Admin;Emailing;Active;Vincent ????;Estelle; 4 200,00 € ;;31/05/2026;CPL; 70,00 € ; 56,00 € ; 30,00 € ;#DIV/0!;60;60;4 200,00 €;4 199,09 €;60;0; -   € ; -   € ;0%;100%;CITROEN;B2B;VP;AUTOMOBILE;;
Citroen B2B VP EMUL;FR;CAR;Admin;Emulation;Active;Vincent ????;Estelle; 7 000,00 € ;07/05/2026;31/05/2026;CPL; 70,00 € ; 56,00 € ; 30,00 € ;46,43%;100;60;6 986,00 €;4 200,00 €;86;14; 784,00 € ; 420,00 € ;14%;63%;CITROEN;B2B;VP;AUTOMOBILE;;
Citroen B2B VP EMUL CC;FR;CAR;Admin;Emulation;Active;Philippe ????;Estelle; 3 010,00 € ;;31/05/2026;CPL; 70,00 € ; 56,00 € ; 25,00 € ;#DIV/0!;43;43;3 010,00 €;3 009,35 €;43;0; -   € ; -   € ;0%;100%;CITROEN;B2B;VP;AUTOMOBILE;;
Citroen B2B VU EMAIL;FR;CAR;Admin;Emailing;Active;Vincent ????;Estelle; 4 250,00 € ;07/05/2026;31/05/2026;CPL; 85,00 € ; 68,00 € ; 35,00 € ;48,53%;50;30;4 229,00 €;2 550,00 €;29;21; 1 428,00 € ; 735,00 € ;42%;63%;CITROEN;B2B;VU;AUTOMOBILE;;
